local;dia;bloque_30min;porcentaje_ventas
LLURIA;MIERCOLES;4:30:00;0.00000000000000000
LLURIA;MIERCOLES;5:00:00;0.00000000000000000
LLURIA;MIERCOLES;5:30:00;0.00000000000000000
LLURIA;MIERCOLES;6:00:00;0.00000000000000000
LLURIA;MIERCOLES;6:30:00;0.00000000000000000
LLURIA;MIERCOLES;7:00:00;0.00000000000000000
LLURIA;MIERCOLES;7:30:00;0.00000000000000000
LLURIA;MIERCOLES;8:00:00;0.00000000000000000
LLURIA;MIERCOLES;8:30:00;0.00000000000000000
LLURIA;MIERCOLES;9:00:00;0.00000000000000000
LLURIA;MIERCOLES;9:30:00;0.00000000000000000
LLURIA;MIERCOLES;10:00:00;0.00000000000000000
LLURIA;MIERCOLES;10:30:00;0.00000000000000000
LLURIA;MIERCOLES;11:00:00;0.00000000000000000
LLURIA;MIERCOLES;11:30:00;0.00000000000000000
LLURIA;MIERCOLES;12:00:00;0.00210937167813051
LLURIA;MIERCOLES;12:30:00;0.00241530142631400
LLURIA;MIERCOLES;13:00:00;0.00402949424129282
LLURIA;MIERCOLES;13:30:00;0.00550838750070178
LLURIA;MIERCOLES;14:00:00;0.00713167419859815
LLURIA;MIERCOLES;14:30:00;0.00873212939896162
LLURIA;MIERCOLES;15:00:00;0.00807998316535423
LLURIA;MIERCOLES;15:30:00;0.00773892515971787
LLURIA;MIERCOLES;16:00:00;0.00709226957240031
LLURIA;MIERCOLES;16:30:00;0.00651983450023459
LLURIA;MIERCOLES;17:00:00;0.00480163617380410
LLURIA;MIERCOLES;17:30:00;0.00408996394316031
LLURIA;MIERCOLES;18:00:00;0.00349671896959163
LLURIA;MIERCOLES;18:30:00;0.00367658163114689
LLURIA;MIERCOLES;19:00:00;0.00400958404915770
LLURIA;MIERCOLES;19:30:00;0.00434935078501356
LLURIA;MIERCOLES;20:00:00;0.00482402331614852
LLURIA;MIERCOLES;20:30:00;0.00508546255102596
LLURIA;MIERCOLES;21:00:00;0.00549754479414624
LLURIA;MIERCOLES;21:30:00;0.00544978321071480
LLURIA;MIERCOLES;22:00:00;0.00607087957557979
LLURIA;MIERCOLES;22:30:00;0.00570986518246692
LLURIA;MIERCOLES;23:00:00;0.00501861789204793
LLURIA;MIERCOLES;23:30:00;0.00000000000000000
LLURIA;JUEVES;0:00:00;0.00000000000000000
LLURIA;JUEVES;0:30:00;0.00000000000000000
LLURIA;JUEVES;1:00:00;0.00000000000000000
LLURIA;JUEVES;1:30:00;0.00000000000000000
LLURIA;JUEVES;2:00:00;0.00000000000000000
LLURIA;JUEVES;2:30:00;0.00000000000000000
LLURIA;JUEVES;3:00:00;0.00000000000000000
LLURIA;JUEVES;3:30:00;0.00000000000000000
LLURIA;JUEVES;4:00:00;0.00000000000000000
LLURIA;JUEVES;4:30:00;0.00000000000000000
LLURIA;JUEVES;5:00:00;0.00000000000000000
LLURIA;JUEVES;5:30:00;0.00000000000000000
LLURIA;JUEVES;6:00:00;0.00000000000000000
LLURIA;JUEVES;6:30:00;0.00000000000000000
LLURIA;JUEVES;7:00:00;0.00000000000000000
LLURIA;JUEVES;7:30:00;0.00000000000000000
LLURIA;JUEVES;8:00:00;0.00000000000000000
LLURIA;JUEVES;8:30:00;0.00000000000000000
LLURIA;JUEVES;9:00:00;0.00000000000000000
LLURIA;JUEVES;9:30:00;0.00000000000000000
LLURIA;JUEVES;10:00:00;0.00000000000000000
LLURIA;JUEVES;10:30:00;0.00000000000000000
LLURIA;JUEVES;11:00:00;0.00000000000000000
LLURIA;JUEVES;11:30:00;0.00000000000000000
LLURIA;JUEVES;12:00:00;0.00185368946380106
LLURIA;JUEVES;12:30:00;0.00212253670241272
LLURIA;JUEVES;13:00:00;0.00354106917096352
LLURIA;JUEVES;13:30:00;0.00484070208131075
LLURIA;JUEVES;14:00:00;0.00626722614049684
LLURIA;JUEVES;14:30:00;0.00767368616504250
LLURIA;JUEVES;15:00:00;0.00710058820671258
LLURIA;JUEVES;15:30:00;0.00680087069455112
LLURIA;JUEVES;16:00:00;0.00623259784754815
LLURIA;JUEVES;16:30:00;0.00572954906151144
LLURIA;JUEVES;17:00:00;0.00421961784955565
LLURIA;JUEVES;17:30:00;0.00359420918909929
LLURIA;JUEVES;18:00:00;0.00307287292183139
LLURIA;JUEVES;18:30:00;0.00323093398054044
LLURIA;JUEVES;19:00:00;0.00352357234299063
LLURIA;JUEVES;19:30:00;0.00382215510340973
LLURIA;JUEVES;20:00:00;0.00423929139041083
LLURIA;JUEVES;20:30:00;0.00446904092205622
LLURIA;JUEVES;21:00:00;0.00483117364632251
LLURIA;JUEVES;21:30:00;0.00478920136381809
LLURIA;JUEVES;22:00:00;0.00533501308561752
LLURIA;JUEVES;22:30:00;0.00501775814959460
LLURIA;JUEVES;23:00:00;0.00441029867129803
LLURIA;JUEVES;23:30:00;0.00000000000000000
LLURIA;VIERNES;0:00:00;0.00000000000000000
LLURIA;VIERNES;0:30:00;0.00000000000000000
LLURIA;VIERNES;1:00:00;0.00000000000000000
LLURIA;VIERNES;1:30:00;0.00000000000000000
LLURIA;VIERNES;2:00:00;0.00000000000000000
LLURIA;VIERNES;2:30:00;0.00000000000000000
LLURIA;VIERNES;3:00:00;0.00000000000000000
LLURIA;VIERNES;3:30:00;0.00000000000000000
LLURIA;VIERNES;4:00:00;0.00000000000000000
LLURIA;VIERNES;4:30:00;0.00000000000000000
LLURIA;VIERNES;5:00:00;0.00000000000000000
LLURIA;VIERNES;5:30:00;0.00000000000000000
LLURIA;VIERNES;6:00:00;0.00000000000000000
LLURIA;VIERNES;6:30:00;0.00000000000000000
LLURIA;VIERNES;7:00:00;0.00000000000000000
LLURIA;VIERNES;7:30:00;0.00000000000000000
LLURIA;VIERNES;8:00:00;0.00000000000000000
LLURIA;VIERNES;8:30:00;0.00000000000000000
LLURIA;VIERNES;9:00:00;0.00000000000000000
LLURIA;VIERNES;9:30:00;0.00000000000000000
LLURIA;VIERNES;10:00:00;0.00000000000000000
LLURIA;VIERNES;10:30:00;0.00000000000000000
LLURIA;VIERNES;11:00:00;0.00000000000000000
LLURIA;VIERNES;11:30:00;0.00000000000000000
LLURIA;VIERNES;12:00:00;0.00242721309538662
LLURIA;VIERNES;12:30:00;0.00277924052552516
LLURIA;VIERNES;13:00:00;0.00463666090317430
LLURIA;VIERNES;13:30:00;0.00633839470529768
