Distribución;local;dia;bloque_30min;porcentaje_ventas
glovo&local;LLURIA;MIERCOLES;10:30:00;0
glovo&local;LLURIA;MIERCOLES;11:00:00;0
glovo&local;LLURIA;MIERCOLES;11:30:00;0
glovo&local;LLURIA;MIERCOLES;12:00:00;0.002109372
glovo&local;LLURIA;MIERCOLES;12:30:00;0.002415301
glovo&local;LLURIA;MIERCOLES;13:00:00;0.004029494
glovo&local;LLURIA;MIERCOLES;13:30:00;0.005508388
glovo&local;LLURIA;MIERCOLES;14:00:00;0.007131674
glovo&local;LLURIA;MIERCOLES;14:30:00;0.008732129
glovo&local;LLURIA;MIERCOLES;15:00:00;0.008079983
glovo&local;LLURIA;MIERCOLES;15:30:00;0.007738925
glovo&local;LLURIA;MIERCOLES;16:00:00;0.00709227
glovo&local;LLURIA;MIERCOLES;16:30:00;0.006519835
glovo&local;LLURIA;MIERCOLES;17:00:00;0.004801636
glovo&local;LLURIA;MIERCOLES;17:30:00;0.004089964
glovo&local;LLURIA;MIERCOLES;18:00:00;0.003496719
glovo&local;LLURIA;MIERCOLES;18:30:00;0.003676582
glovo&local;LLURIA;MIERCOLES;19:00:00;0.004009584
glovo&local;LLURIA;MIERCOLES;19:30:00;0.004349351
glovo&local;LLURIA;MIERCOLES;20:00:00;0.004824023
glovo&local;LLURIA;MIERCOLES;20:30:00;0.005085463
glovo&local;LLURIA;MIERCOLES;21:00:00;0.005497545
glovo&local;LLURIA;MIERCOLES;21:30:00;0.005449783
glovo&local;LLURIA;MIERCOLES;22:00:00;0.00607088
glovo&local;LLURIA;MIERCOLES;22:30:00;0.005709865
glovo&local;LLURIA;MIERCOLES;23:00:00;0.005018618
glovo&local;LLURIA;MIERCOLES;23:30:00;0
glovo&local;LLURIA;JUEVES;0:00:00;0
glovo&local;LLURIA;JUEVES;0:30:00;0
glovo&local;LLURIA;JUEVES;1:00:00;0
glovo&local;LLURIA;JUEVES;1:30:00;0
glovo&local;LLURIA;JUEVES;2:00:00;0
glovo&local;LLURIA;JUEVES;2:30:00;0
glovo&local;LLURIA;JUEVES;3:00:00;0
glovo&local;LLURIA;JUEVES;3:30:00;0
glovo&local;LLURIA;JUEVES;4:00:00;0
glovo&local;LLURIA;JUEVES;4:30:00;0
glovo&local;LLURIA;JUEVES;5:00:00;0
glovo&local;LLURIA;JUEVES;5:30:00;0
glovo&local;LLURIA;JUEVES;6:00:00;0
glovo&local;LLURIA;JUEVES;6:30:00;0
glovo&local;LLURIA;JUEVES;7:00:00;0
glovo&local;LLURIA;JUEVES;7:30:00;0
glovo&local;LLURIA;JUEVES;8:00:00;0
glovo&local;LLURIA;JUEVES;8:30:00;0
glovo&local;LLURIA;JUEVES;9:00:00;0
glovo&local;LLURIA;JUEVES;9:30:00;0
glovo&local;LLURIA;JUEVES;10:00:00;0
glovo&local;LLURIA;JUEVES;10:30:00;0
glovo&local;LLURIA;JUEVES;11:00:00;0
glovo&local;LLURIA;JUEVES;11:30:00;0
glovo&local;LLURIA;JUEVES;12:00:00;0.001853689
glovo&local;LLURIA;JUEVES;12:30:00;0.002122537
glovo&local;LLURIA;JUEVES;13:00:00;0.003541069
glovo&local;LLURIA;JUEVES;13:30:00;0.004840702
glovo&local;LLURIA;JUEVES;14:00:00;0.006267226
glovo&local;LLURIA;JUEVES;14:30:00;0.007673686
glovo&local;LLURIA;JUEVES;15:00:00;0.007100588
glovo&local;LLURIA;JUEVES;15:30:00;0.006800871
glovo&local;LLURIA;JUEVES;16:00:00;0.006232598
glovo&local;LLURIA;JUEVES;16:30:00;0.005729549
glovo&local;LLURIA;JUEVES;17:00:00;0.004219618
glovo&local;LLURIA;JUEVES;17:30:00;0.003594209
glovo&local;LLURIA;JUEVES;18:00:00;0.003072873
glovo&local;LLURIA;JUEVES;18:30:00;0.003230934
glovo&local;LLURIA;JUEVES;19:00:00;0.003523572
glovo&local;LLURIA;JUEVES;19:30:00;0.003822155
glovo&local;LLURIA;JUEVES;20:00:00;0.004239291
glovo&local;LLURIA;JUEVES;20:30:00;0.004469041
glovo&local;LLURIA;JUEVES;21:00:00;0.004831174
glovo&local;LLURIA;JUEVES;21:30:00;0.004789201
glovo&local;LLURIA;JUEVES;22:00:00;0.005335013
glovo&local;LLURIA;JUEVES;22:30:00;0.005017758
glovo&local;LLURIA;JUEVES;23:00:00;0.004410299
glovo&local;LLURIA;JUEVES;23:30:00;0
glovo&local;LLURIA;VIERNES;0:00:00;0
glovo&local;LLURIA;VIERNES;0:30:00;0
glovo&local;LLURIA;VIERNES;1:00:00;0
glovo&local;LLURIA;VIERNES;1:30:00;0
glovo&local;LLURIA;VIERNES;2:00:00;0
glovo&local;LLURIA;VIERNES;2:30:00;0
glovo&local;LLURIA;VIERNES;3:00:00;0
glovo&local;LLURIA;VIERNES;3:30:00;0
glovo&local;LLURIA;VIERNES;4:00:00;0
glovo&local;LLURIA;VIERNES;4:30:00;0
glovo&local;LLURIA;VIERNES;5:00:00;0
glovo&local;LLURIA;VIERNES;5:30:00;0
glovo&local;LLURIA;VIERNES;6:00:00;0
glovo&local;LLURIA;VIERNES;6:30:00;0
glovo&local;LLURIA;VIERNES;7:00:00;0
glovo&local;LLURIA;VIERNES;7:30:00;0
glovo&local;LLURIA;VIERNES;8:00:00;0
glovo&local;LLURIA;VIERNES;8:30:00;0
glovo&local;LLURIA;VIERNES;9:00:00;0
glovo&local;LLURIA;VIERNES;9:30:00;0
glovo&local;LLURIA;VIERNES;10:00:00;0
glovo&local;LLURIA;VIERNES;10:30:00;0
glovo&local;LLURIA;VIERNES;11:00:00;0
